01G.ONE
	TS	HU	Wind	Press	Lat	Long	
10/00	4	1	20	1006	9.6	-110.4	1
10/06	8	2	25	1003	9.5	-110.9	1A
10/12	8	2	25	1003	9.5	-112.7	2
10/18	8	2	25	1003	9.4	-114	2A
11/00	7	1	25	1004	9.4	-114.8	3
11/06	7	1	25	1004	9.6	-115.5	3A
11/12	6	1	20	1005	9.8	-116.4	4
11/18	5	1	20	1006	10.2	-117.3	4A
12/00	4	1	20	1007	10.5	-118.1	5
12/06	5	1	20	1006	10.4	-119.1	5A
12/12	5	1	25	1006	10.3	-120	6
12/18	7	1	25	1004	10	-120.1	6A
13/00	8	2	25	1003	9.6	-121	7
13/06	15	4	30	998	9.3	-121.6	7A
13/12	28	8	35	996	9.1	-122.6	8
13/18	36	9	35	994	9	-123.5	8A
14/00	48	12	35	992	8.8	-124.4	9
14/06	42	10	35	995	8.7	-125.1	9A
14/12	36	6	35	997	8.9	-125.6	10
14/18	33	5	35	998	9.1	-126.3	10A
15/00	31	5	35	998	9.4	-127	11
15/06	30	5	35	998	9.8	-127.8	11A
15/12	29	4	35	998	10.4	-128.9	12
