01H.ADANA-ALICE
	TS	HU	Wind	Press	Lat	Lon	
23/06	14	3	20	1011	5.9	14.3	1
23/12	15	3	20	1011	5.9	14.1	1A
23/18	17	4	20	1010	6	14	2
24/00	18	4	20	1010	6	13.9	2A
24/06	18	4	20	1010	5.9	13.7	3
24/12	20	5	20	1008	6	13.6	3A
24/18	20	5	20	1008	6	13.4	4
25/00	24	6	25	1007	6.1	13.3	4A
25/06	24	6	25	1007	6.1	13.2	5
25/12	25	7	25	1006	6	13.2	5A
25/18	25	7	25	1006	6	13	6
26/00	28	8	30	1005	6.1	12.8	6A
26/06	29	8	30	1005	6.1	12.7	7
26/12	30	9	30	1004	6.2	12.5	7A
26/18	33	10	30	1003	6.2	12.4	8
27/00	35	11	30	1001	6.3	12.1	8A
27/06	41	14	35	1001	6.3	12	9
27/12	47	21	35	1000	6.3	11.9	9A
27/18	52	23	35	999	6.5	11.7	10
28/00	59	26	40	997	6.6	11.4	10A
28/06	62	29	40	994	6.6	11.2	11
28/12	65	30	45	993	6.7	11	11A
28/18	70	33	50	991	6.6	10.7	12
29/00	72	34	50	990	6.8	10.5	12A
29/06	74	35	50	988	6.8	10.3	13
29/12	76	38	60	986	7	10	13A
29/18	82	51	75	981	7.3	9.8	14
30/00	88	55	80	978	7.5	9.5	14A
30/06	88	56	80	977	7.6	9.3	15
30/12	92	60	85	975	7.7	9.2	15A
30/18	93	61	85	974	7.9	8.8	16
31/00	94	63	90	973	8	8.7	16A
31/06	95	64	90	972	7.9	8.5	17
31/12	95	65	100	969	7.5	8	17A
31/18	97	67	105	965	7.4	7.6	18
01/00	98	69	110	962	7.4	7.1	18A
01/06	98	70	120	958	7.3	6.4	19
01/12	97	68	115	959	7.4	6	19A
01/18	95	64	110	961	7.5	5.5	20
02/00	95	64	110	962	7.6	5.1	20A
02/06	96	65	110	960	7.7	4.7	21
02/12	97	67	115	958	7.7	4.2	21A
02/18	98	66	115	959	8.1	3.8	22
03/00	98	67	115	957	8.2	3.4	22A
03/06	98	68	120	955	8.3	3	23
03/12	98	71	120	954	8.5	2.6	23A
03/18	99	74	125	952	8.8	2.1	24
04/00	99	75	125	951	8.9	1.8	24A
04/06	99	77	125	949	9.1	1.3	25
04/12	99	79	130	945	9.4	0.8	25A
04/18	99	78	130	946	9.7	0.4	26
05/00	99	82	140	942	9.8	-0.1	26A
05/06	99	84	140	940	10	-0.6	27
05/12	99	83	140	941	10.1	-1.3	27A
05/18	99	84	140	940	10.3	-1.9	28
06/00	97	81	130	945	10.5	-2.5	28A
06/06	96	80	130	946	10.7	-2.9	29
06/12	95	78	130	948	11.1	-3.5	29A
06/18	92	71	120	953	11.3	-4.4	30
07/00	91	70	120	954	11.5	-4.9	30A
07/06	90	68	115	955	11.8	-5.5	31
07/12	90	68	115	954	12.2	-6.2	31A
07/18	91	69	120	952	12.7	-6.6	32
08/00	91	69	130	949	13.2	-7.1	32A
08/06	90	69	130	948	13.5	-7.7	33
08/12	89	68	125	950	13.9	-8.3	33A
08/18	87	65	120	952	14.3	-8.9	34
09/00	85	62	115	953	14.7	-9.5	34A
09/06	84	60	115	955	15.1	-10.2	35
09/12	83	59	115	955	15.3	-10.8	35A
09/18	81	56	110	957	15.7	-11.6	36
10/00	80	54	110	959	16	-12.3	36A
10/06	78	52	105	961	16.3	-13	37
10/12	77	51	105	962	16.9	-13.5	37A
10/18	76	49	105	963	17.3	-14.2	38
11/00	77	49	110	961	17.6	-14.9	38A
11/06	76	48	105	962	17.9	-15.7	39
11/12	75	48	105	964	18.4	-16.7	39A
11/18	73	46	100	965	19.1	-17.6	40
12/00	72	45	100	967	20.1	-18.2	40A
12/06	71	44	100	968	20.8	-18.9	41
12/12	70	43	90	970	21.4	-19.6	41A
12/18	69	41	90	971	22.3	-20.3	42
13/00	66	36	85	974	23.5	-20.9	42A
13/06	63	33	85	976	24.6	-21.2	43
13/12	60	30	80	978	25.5	-21.4	43A
13/18	50	25	80	979	27	-21.5	44
14/00	45	19	75	981	28.2	-21.9	44A
14/06	43	14	75	983	29.8	-22	45
14/12	40	11	75	982	31.1	-21.8	45A
14/18	36	7	75	980	32.3	-21.5	46
15/00	31	4	70	982	33.8	-21.1	46A
15/06	26	2	65	983	34.6	-21.4	47
15/12	15	1	60	987	35.7	-21.3	47A
15/18	12	BE	50	992	36.3	-20.8	48
16/00	7	BE	45	995	37.5	-19.9	48A
16/06	2	EX	45	994	38.3	-19.2	49
16/12	1	EX	45	994	40.1	-17.9	49A
16/18	1	EX	45	993	40.9	-16.1	50
