01K.CHRIS
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
03/18   10      SD      30      1001     40.6   -79.1      6A
04/00   20      SD      30      1001     41.0   -78.7      7
04/06   30      SD      35      997      41.5   -78.0      7A
04/12   40      SD      35      995      41.8   -77.9      8
04/18   45      SS      40      994      42.0   -77.8      8A
05/00   60      SS      45      992      42.1   -77.4      9
05/06   80      SS      45      990      42.0   -76.2      9A
05/12   100     40      50      996      41.2   -75.7      10
05/18   100     60      60      993      40.7   -74.2      10A
06/00   100     80      70      990      39.6   -74.9      11
06/06   100     100     75      987      38.5   -75.2      11A
06/12   100     100     80      985      37.5   -76.2      12
06/18   100     100     80      986      36.7   -78.4      12A
07/00   100     100     90      985      35.4   -79.2      13
07/06   100     100     90      984      35.5   -80.2      13A
07/12   100     100     90      984      36.2   -80.1      14
07/18   100     100     90      987      36.8   -80.1      14A
08/00   100     100     90      984      37.2   -80.0      15
08/06   100     100     100     982      37.6   -79.9      15A
08/12   100     100     100     980      38.0   -79.8      16
08/18   100     100     100     980      38.7   -79.7      16A
09/00   100     100     110     980      39.4   -79.5      17
