02D.ARLENE
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
13/03   40      LO      25      1005    23.0     162.5    1
13/09   64      02      30      1003    23.2     162.0    1A
13/15   99      45      35      999     23.3     161.9    2
13/21   100     79      45      994     23.6     161.0    2A
14/03   100     100     60      986     23.9     160.0    3
14/09   100     100     70      980     24.9     159.0    3A
14/15   100     100     80      976     25.9     158.0    4
+12     100    	100    	70    	977     25.0  	 160.1    -
+24     100    	100    	85    	970   	28.3  	 158.8    -
+48     100    	100    	95    	966   	30.4  	 155.2    -
+60     100    	100     105    	955   	32.7  	 152.4    -
