02H.GAAPURIL
	TS	HU	Wind	Press	Lat	Lon	
25/18	15	5	20	1009	8.8	25.8	1
26/00	16	5	20	1009	8.8	25.7	1A
26/06	17	5	20	1009	8.9	25.7	2
26/12	18	5	20	1008	8.9	25.6	2A
26/18	19	5	20	1008	8.9	25.6	3
27/00	19	5	20	1007	9	25.5	3A
27/06	20	5	20	1007	9	25.4	4
27/12	21	6	20	1006	9.1	25.2	4A
27/18	22	6	25	1006	9.1	25.1	5
28/00	23	6	25	1005	9	24.9	5A
28/06	26	8	30	1003	8.8	24.8	6
28/12	26	7	30	1003	8.9	24.7	6A
28/18	27	7	30	1003	8.9	24.5	7
29/00	29	8	30	1003	9	24.3	7A
29/06	33	9	35	1001	9.1	24	8
29/12	38	11	35	1000	9.2	23.7	8A
29/18	43	12	35	1000	9.6	23.6	9
30/00	44	13	35	1000	9.5	23.4	9A
30/06	43	13	35	1001	9.4	23.3	10
30/12	42	12	35	1001	9.5	23.3	10A
30/18	43	13	35	1000	9.9	23.4	11
31/00	45	13	35	1000	10	23.5	11A
31/06	45	14	35	1000	10.2	23.4	12
31/12	49	15	40	999	10.6	23.2	12A
31/18	49	15	40	998	10.7	23	13
01/00	49	15	40	998	11	22.9	13A
01/06	47	14	40	998	11.3	22.7	14
01/12	49	15	40	998	11.7	22.3	14A
01/18	49	15	45	996	11.7	22.3	15
02/00	50	14	45	995	11.8	22	15A
02/06	49	14	45	995	11.7	21.5	16
02/12	47	13	45	997	11.9	20.9	16A
02/18	44	12	40	998	12	20.3	17
03/00	41	10	40	999	12.3	19.7	17A
03/06	39	9	40	998	12.6	19.4	18
03/12	36	7	40	998	13	19.2	18A
03/18	32	5	35	1000	13.6	19	19
04/00	31	3	35	1001	14.3	18.8	19A
04/06	28	2	30	1004	14.8	18.5	20
04/12	25	1	30	1006	15.5	18.2	20A
