02X.APARI
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
07/12   90      00      35      999     -12.9   -59.5      7A
07/18   95      00      35      999     -13.2   -60.3      8
08/00   95      00      35      998     -13.4   -60.7      8A
08/06   95      00      35      1000    -13.9   -61.7      9
08/12   95      00      35      999     -14.3   -62.4      9A
08/18   95      00      35      1000    -14.7   -63.5      10
09/00   95      00      35      999     -15.5   -64.8      10A
09/06   X       00      40      998     -16.2   -66.2      11
09/12   X       00      40      997     -17.0   -67.1      11A
+12     X       00      40      997     -17.7   -68.6      -
+24     X       00      40      998     -18.3   -69.4      -
+36     X       00      40      997     -19.8   -70.8      -
+48     X       00      40      997     -20.8   -71.8      -
+72     X       00      35      999     -22.5   -72.4      -
+96     X       00      35      1000    -24.5   -71.4      -
+120    X       00      35      999     -25.2   -71.1      -
