03D.BARRY
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
14/03   69      30      35      998      7.9     121.3    2
14/09   85      35      35      996      8.1     121.3    2A
14/15   100     40      40      994      8.6     121.3    3
14/21   100    	100    	50    	990      9.1  	 121.3    3A
15/03   100    	100    	50    	989   	 9.6  	 121.8    4
15/09   100    	100    	55    	988   	10.1  	 122.3    4A
15/15   100    	100     55    	987   	10.6  	 122.8    5
15/21   100     100     60      986     11.1     123.3    5A
16/03   100     100     60      985     11.6     123.8    6  
16/09   100     100     70      982     12.6     124.0    6A
16/15   100     100     75      979     13.6     124.5    7 
16/21   100     100     80      975     14.6     125.0    7A
17/03   100     100     85      972     15.6     125.5    8
17/09   100     100     85      970     16.6     126.0    8A
17/15   100     100     90      968     17.6     126.5    9
17/21   100     100     100     965     18.6     127.0    9A
18/03   100     100     105     963     19.6     127.5    10
18/09   100     100     110     960     20.6     128.0    10A
18/15   100     100     125     946     21.6     128.5    11
18/21   100     100     145     929     22.1     129.0    11A
19/03   100     100     160     920     22.5     129.5    12
19/09   100     95      170     910     22.5     130.0    12A
19/15   100     90      175     904     22.5     130.5    13
19/21   100     70      155     923     22.5     131.0    13A
20/03   100     65      140     934     22.5     131.5    14
20/09   100     60      120     940     22.5     132.0    14A
20/15   95      55      115     946     22.5     132.5    15
20/21   90      50      115     946     22.5     133.0    15A
21/03   85      45      110     950     22.5     133.5    16 
21/09   80      40      110     952     22.5     134.0    16A
21/15   75      40      105     955     22.5     134.5    17
21/21   70      40      105     957     22.5     135.0    17A
22/03   65      35      100     960     22.5     135.5    18
22/09   65      35      100     963     22.5     136.0    18A
22/15   60      30      95      967     22.5     136.5    19
22/21   55      25      95      970     22.5     137.0    19A
23/03   50      20      90      973     22.5     137.5    20
23/09   45      25      90      976     22.5     138.0    20A
23/15   30      0       70      980     22.5     138.5    21
23/21   20      0       55      984     22.7     139.0    21A
24/03   15      BE      40      988     22.8     139.5    22
24/09   0       BE      35      992     22.9     140.0    22A
24/15   0       EX      35      994     23.0     140.5    23  
24/21   0       EX      30      996     23.2     141.0    23A
25/03   0       EX      30      998     23.4     141.5    24
25/09   0       EX      25      1000    23.6     142.0    24A
25/15   0       EX      25      1001    23.9     143.0    25
25/21   0       EX      25      1001    24.2     144.0    25A   
26/03   0       EX      25      1001    24.5     145.0    26
26/09   0       EX      25      1001    24.8     146.0    26A
26/15   0       SD      25      1000    25.1     147.0    27
26/21   0       SD      35      996     27.3     150.0    27A
27/03   0       SS      45      990     29.5     151.0    28
27/09   0       SS      50      987     30.6     152.0    28A
27/15   0       SS      55      986     32.8     152.5    29
27/21   10      0       60      985     34.5     153.0    29A
28/03   10      0       60      984     36.2     153.5    30
28/09   10      0       65      983     38.5     154.0    30A
28/15   10      0       65      982     40.8     154.5    31        
28/21   10      0       75      977     43.0     155.3    31A
29/03   5       0       70      980     45.2     156.0 
+12     X       X       55      988     51.8     159.8 
+24     X       BE      45      996     58.4     164.3
+36     X       EX      25      1004    65.0     169.8
