03X.BEV
Date  	TS    	HU    	Wind    Press	   Lat	  Long
12/12   10      LO      25      1010	  -13.5  -75.4    1
12/18   10      LO      25      1009	  -13.3  -75.0    1A
13/00   20      LO      25      1007	  -12.7  -74.7    2
13/06   40      LO      30      1005	  -12.3  -74.4    2A
13/12   50      LO      30      1004	  -11.9  -75.9    3
13/18   60      LO      35      1002	  -12.4  -76.7    3A
14/00   70      00      35      1000	  -12.7  -77.1    4
14/06   60      00      35      1000	  -12.9  -77.5    4A
14/12   80      10      35      1000	  -12.7  -77.7    5
14/18   100     30      40      997 	  -12.5  -77.8    5A
15/00   100     55      40      996 	  -12.2  -77.5    6
15/06   100     65      40      995 	  -13.1  -77.1    6A
15/12   100     50      40      995 	  -13.9  -76.4    7
15/18   100     45      40      995 	  -14.5  -75.7    7A
16/00   100     40      40      996 	  -15.1  -74.3    8
16/06   100     30      40      996 	  -16.1  -73.2    8A
16/12   80      10      35      998 	  -17.5  -72.4    9
16/18   60      00      35      1000 	  -18.8  -71.5    9A
17/00   40      00      35      1003 	  -19.4  -70.1    10
17/06   30      00      30      1005 	  -19.7  -69.8    10A
17/12   10      00      30      1006 	  -20.2  -70.0    11
17/18   00      LO      25      1007 	  -20.6  -70.6    11A
18/00   00      LO      25      1009 	  -20.9  -71.0    12
18/06   10      LO      20      1009 	  -20.7  -71.4    12A
18/12   10      LO      20      1008 	  -20.7  -71.8    13
18/18   10      LO      20      1009 	  -20.6  -72.3    13A
19/00   20      LO      20      1008 	  -20.4  -72.6    14
19/06   20      LO      25      1007 	  -20.2  -72.9    14A
19/12   30      LO      25      1007 	  -20.2  -73.3    15
19/18   50      LO      30      1006 	  -20.2  -73.7    15A
20/00   60      LO      30      1005 	  -20.1  -74.1    16
20/06   70      LO      30      1006 	  -20.0  -74.6    16A
20/12   70      LO      30      1004 	  -20.0  -75.2    17
20/18   90      LO      35      1002 	  -20.2  -75.7    17A
21/00   90      00      35      999 	  -20.2  -76.5    18
21/06   80      00      35      1000 	  -20.3  -77.1    18A
21/12   80      00      35      1000 	  -20.2  -77.9    19
21/18   70      00      35      1001 	  -20.3  -78.7    19A
21/00   60      00      35      1003 	  -20.4  -79.5    20
21/06   40      00      30      1004 	  -20.2  -80.3    20A
21/12   30      00      30      1004 	  -20.0  -81.0    21
21/18   10      00      30      1006 	  -20.0  -81.7    21A
22/00   00      LO      30      1007 	  -19.9  -82.5    22
22/06   00      LO      25      1007 	  -19.8  -83.2    22A
22/12   00      LO      25      1006 	  -19.7  -83.9    23
22/18   00      LO      25      1007 	  -19.6  -84.6    23A
23/00   00      LO      25      1007 	  -19.6  -85.3    24
23/06   00      LO      25      1008 	  -19.7  -86.0    24A
23/12   00      LO      25      1007 	  -19.5  -87.7    25
23/18   00      LO      25      1006 	  -19.4  -88.8    25A
24/00   00      LO      25      1006 	  -19.2  -89.9    26
24/06   00      LO      25      1007 	  -19.2  -91.0    26A
24/12   00      LO      20      1009 	  -19.1  -93.0    27
24/18   00      LO      20      1009 	  -19.0  -95.0    27A
25/00   00      LO      20      1009 	  -18.8  -97.2    28
25/06   00      LO      15      1010 	  -18.5  -99.4    28A
25/12   00      LO      15      1010 	  -18.3  -101.7   29
25/18   00      LO      15      1010 	  -18.2  -104.0   29A
25/00   00      LO      15      1009 	  -18.2  -106.9   30
26/06   00      LO      15      1009 	  -18.2  -108.2   30A
26/12   10      LO      25      1008 	  -18.3  -109.6   31
26/18   20      LO      25      1007 	  -18.8  -110.9   31A
27/00   20      LO      25      1007 	  -18.7  -111.5   32
27/06   50      LO      25      1005 	  -18.5  -112.1   32A
27/12   60      LO      25      1006 	  -18.4  -113.5   33
27/18   70      LO      30      1005 	  -18.4  -114.7   33A
28/00   90      00      30      1004 	  -18.3  -115.9   34
28/06   90      00      30      1003 	  -18.3  -117.1   34A
28/12   95      00      35      1002 	  -18.4  -118.3   35
28/18   100     00      35      1000 	  -18.5  -119.5   35A
29/00   100     10      35      999 	  -18.5  -120.7   36
29/06   100     20      35      997 	  -18.6  -121.4   36A
29/12   100     50      35      997 	  -18.4  -122.5   37
29/18   100     50      35      996 	  -18.2  -122.9   37A
+12     100    	50    	40    	996 	  -18.0  -123.5    -
+24     100    	50    	40    	996  	  -17.8  -124.4    -
+36     100    	60    	40    	995  	  -17.5  -125.9    -
+60     100    	60    	40    	996  	  -17.2  -126.2    -
+72     100    	60    	40    	995  	  -16.8  -126.5    -
