04D.CHANTAL
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
17/21   60      SD      35      1000     26.2    149.5    2 
18/03   85      SS      40      997      25.7    150.0    2A
18/09   100     SS      50      991      25.2    150.5    3
18/15   100     SS      60      985      24.7    151.0    3A
18/21   100     SS      65      982      24.2    151.5    4
19/03   100     70      70      978      23.7    152.0    4A
19/09   100     100     75      975      23.2    152.5    5
19/15   100     95      85      969      23.0    153.0    5A
19/21   100     99      95      960      22.1    153.5    6
20/03   100     96     105      953      22.6    154.0    6A
20/09   100     94     110      946      22.3    154.5    7
20/15   100     92     115      943      20.7    154.5    7A
20/21   100     93     115      942      21.0    155.0    8
21/03   100     92     120      938      21.4    155.3    8A
21/09   100     90     125      934      21.5    156.0    9
+12     X       X      130      931      21.7    157.4    -
+24     X       X      135      927      21.9    158.8    -
+36     X       X      140      923      22.1    159.2    -
+48     X       X      145      919      22.3    160.6    -


