04G.ROSANNA
TS	TS	HU	Wind	Press	Lat	Lon	
21/00	22	4	35	996	11.6	-38.8	1
21/06	21	4	35	996	12	-39.1	1A
21/12	21	3	35	996	12.2	-39.5	2
21/18	26	4	35	996	12.4	-40	2A
22/00	24	4	35	997	12.6	-40.4	3
22/06	24	4	35	997	12.9	-40.7	3A
22/12	24	4	35	997	13.3	-41.1	4
22/18	23	4	35	998	13.8	-41.5	4A
23/00	23	4	35	998	14.2	-42.3	5
23/06	23	4	35	998	15	-42.7	5A
23/12	21	3	35	999	15.7	-43.3	6
23/18	21	3	35	1000	16.4	-43.6	6A
24/00	20	3	35	1001	17	-44	7
24/06	19	3	35	1001	17.8	-44.5	7A
24/12	17	2	35	1002	18.5	-45.1	8
24/18	33	3	40	1000	19.5	-45.6	8A
25/00	31	2	35	1001	20.3	-46.2	9
25/06	31	2	35	1001	20.9	-46.6	9A
25/12	29	2	35	1002	21.4	-46.9	10
25/18	28	2	35	1003	21.8	-47.1	10A
26/00	25	2	30	1005	22.2	-47.7	11
26/06	22	2	30	1006	22.6	-48	11A
26/12	16	1	25	1007	23	-48.3	12
26/18	15	1	25	1007	23.3	-48.6	12A
27/00	13	1	25	1008	23.6	-48.1	13
27/06	12	1	25	1008	23.9	-47.9	13A
27/12	10	1	20	1009	24.1	-47.3	14
27/18	8	1	20	1009	24.2	-46.6	14A
28/00	6	1	20	1010	24.3	-45.4	15
