04H.BERTHA
Date	TS	HU	Wind	Press	Lat	Lon	
07/00	25	8	25	1009	7.7	80.8	1
07/12	41	12	30	1006	8.8	79.6	2
08/00	48	16	35	1003	9.8	79	3
08/12	51	18	35	1002	10.6	78.3	4
09/00	55	22	35	1002	11	77.7	5
09/06	57	24	35	1000	11.3	77.5	5A
09/12	60	26	40	999	11.8	77.1	6
09/18	63	28	45	996	12.2	76.9	6A
10/00	66	34	65	992	12.6	76.8	7
10/06	67	35	70	990	13	76.6	7A
10/12	67	38	75	986	13.5	76.5	8
10/18	66	39	85	981	14.2	76.7	8A
11/00	68	42	90	977	14.9	76.6	9
11/06	69	43	90	976	15.5	76.3	9A
11/12	69	43	100	973	16.1	76.1	10
11/18	68	42	105	969	17	76.2	10A
12/00	70	44	115	963	17.9	76.3	11
12/06	72	46	125	949	18.6	75.7	11A
12/12	75	49	150	931	19.5	75.1	12
12/18	77	50	160	922	20.5	74.4	12A
13/00	76	49	155	921	21.3	74.1	13
13/06	75	47	150	924	22	74	13A
13/12	74	45	150	926	22.7	73.3	14
13/18	72	41	140	933	23.6	73.7	14A
14/00	71	39	130	938	24.5	74.4	15
14/06	70	38	130	941	25.6	75.4	15A
14/12	65	35	120	945	26.3	76.7	16
14/18	60	33	120	948	27.2	78	16A
15/00	56	29	115	953	28.2	78.9	17
15/06	51	21	110	955	28.8	80.1	17A
15/12	47	14	105	960	29.2	81.4	18
15/18	41	9	90	969	29.6	82.5	18A
16/00	33	2	70	979	30.1	84.1	19
16/06	12	1	60	984	30.6	85.3	19A
16/12	5	1	45	989	30.9	87.7	20
16/18	2	1	35	996	31.5	88.5	20A
17/00	1	1	30	1001	32	89.9	21
