05D.DORIAN
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
22/21   55      SD      35      1000     29.8    120.6  2A
23/03   65      SS      40       998     29.9    120.7  3
23/09   70      SS      45       995     30.0    120.8  3A
23/15   75      SS      50       991     30.3    121.3  4
23/21   75      SS      50       989     30.5    121.8  4A
24/03   75      SS      55       988     30.8    122.3  5
24/09   75      SS      55       986     31.0    122.8  5A
24/15   75      SS      60       984     31.3    123.3  6
24/21   75      SS      60       982     31.5    123.8  6A
25/03   75      SS      65       980     31.8    124.3  7      
25/09   75      SS      65       978     32.0    124.8  7A
25/15   75      SS      65       977     32.3    125.3  8
25/21   75      SS      65       977     32.5    125.8  8A
26/03   70      SS      65       976     32.8    126.3  9
26/09   65      15      70       975     33.0    126.8  9A
26/15   60      10      75       973     33.3    127.3  10
26/21   40      05      75       972     33.5    127.8  10A
27/03   10      01      75       972     33.8    128.3  11
27/09   0       0       55       983     34.0    128.8  11A
27/15   0       EX      30       995     34.5    130.0

