05H.CHRISTOPHER
Date	TS	HU	Wind	Press	Lat	Lon	
14/12	23	10	25	1008	9.7	118.6	1
14/18	23	10	25	1008	9.7	118.6	
15/00	29	13	30	1005	9.9	117.9	2
15/06	29	13	30	1005	9.9	117.9	
15/12	32	17	30	1004	10.3	116.7	3
15/18	32	17	30	1004	10.3	116.7	
16/00	47	21	35	1002	10.9	115.8	4
16/06	46	20	35	1003	11.3	115.4	4A
16/12	44	18	35	1003	11.6	114.8	5
16/18	48	21	40	1002	12.2	114.3	5A
17/00	47	18	40	1002	12.4	113.8	6
17/06	45	15	40	1002	12.5	113.1	6A
17/12	41	11	35	1002	12.7	111.9	7
17/18	34	6	35	1003	13	111	7A
18/00	31	4	35	1004	12.9	110.6	8
18/06	32	5	35	1003	12.8	110	8A
18/12	36	7	40	1003	13.1	109.4	9
18/18	34	5	35	1004	13.4	108.9	9A
19/00	31	4	35	1005	13.7	108.2	10
19/06	26	2	30	1006	14.1	108	10A
19/12	24	1	30	1007	14.4	107.4	11
19/18	15	1	25	1008	14.7	106.7	11A
20/00	11	1	25	1009	14.9	106.2	12
20/06	5	1	20	1010	15.3	106.3	12A
