06D.EMILY
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
26/00   100     40      45      999      15.2    115.6     1
26/06   100     60      60      994      16.2    116.5     2
26/12   100     80      100     970      16.9    118.5     3
26/18   100     99      105     963      17.4    119.2     4
26/18   100     99      110     963      17.4    120.7     4A
+12     100     100     120     950      20.2    121.5     -
+24     100     100     130     954      21.5    124.5     -
+48     100     100     110     965      22.5    127.4     -
+72     100     100     100     975      23.5    130.1     -
+96     100     99      90      985      25.5    131.4     -
+120    100     80      60      999      25.1    135.9     -
