06G.STEVE
Date	TS	HU	Wind	Press	Lat	Long
30/18	18	00	15	1010	6.2	-94.2	4A
01/00	31	00	20	1008	6.3	-95.5	5
01/06	43	00	25	1006	6.5	-96.2	5A
01/12	53	00	30	1004	6.8	-97.2	6
01/18	65	00	35	1003	6.9	-98.5	6A
02/00	72	03	40	999	7	-99.1	7
02/06	86	09	45	997	7	-99.7	7A
02/12	86	09	45	997	7.3	-100.2  8
02/18   88      15      45      997     7.7     -100.7  8A
03/00   90      25      45      995     7.9     -101.1  9
03/06   92      27      45      994     8.3     -101.3  9A
03/12   94      29      50      991     8.7     -101.4  10
03/18	99	30	45	995	8.7	-101.7	10A
04/00	100	33	45	993	8.7	-101.6	11
04/06	100	47	50	990	9.7	-102.2	11A
04/12	100	75	55	987	10.3	-102.5	12
04/18	100	98	60	986	11	-103.3	12A
05/00	100	100	65	985	12.1	-103.6	13
05/06	99	90	65	985	12.8	-104.4	13A
05/12	93	80	60	986     13.5	-104.8	14
05/18	80	71	55	988     13.9	-105.3	14A
06/00	74	63	50	990     14.5	-105.5	15
06/06	61	50	50	990     14.8	-105.6	15A
06/12	48	33	45	993     15	-105.6	16
06/18	47	32	45	993	15.7	-104.6	16A
07/00	45	28	45	994	16.3	-104.2	17
07/06	41	20	45	997	17	-103.5	17A
07/12	38	17	40	999	17.9	-102.3	18
07/18	30	15	40	1000	18.3	-102.6	18A
08/00	20	15	40	1000	19.2	-102.4	19
08/06	18	13	40	1001    19.7	-102.8	19A
08/12	16	12	35	1002	20.1	-103.0	20
08/18	15	10	35	1002	20.6	-103.4	20A
09/00	12	06	30	1002	20.9	-103.9	21
09/06	06	03	30	1003	21.3	-104.3	21A
09/06	02	01	25	1004	21.6	-104.8	22
09/12	00	00	25	1004	22.1	-105.0	22A
09/18	00	00	25	1005	22.5	-105.2	23
10/00	00	00	25	1005	22.9	-105.5	23A
10/06	00	00	20	1005	23.2	-106.1	24
+06	00	00	20	1006	23.3	-106.6	-
+12	00	00	20	1006	23.3	-106.6	-
+18	00	EX	15	1007	23.5	-107.0	-
+24	00	EX	15	1007	23.5	-107.4	-
+30	00	EX	15	1009	23.7	-107.9	-
