06H.DANIELLE
	TS	HU	Wind	Press	Lat	Lon	
15/18	22	11	20	1010	13.2	70.4	1
16/06	24	14	20	1010	13.4	69.3	2
16/18	25	15	20	1009	13.6	69.1	3
17/06	28	18	25	1007	14	68.6	4
17/18	30	19	25	1006	14.1	68	5
18/06	28	18	25	1006	14.9	66.6	6
18/18	32	20	25	1005	15.4	65.5	7
19/06	34	22	30	1004	15.7	63.9	8
19/18	39	25	30	1003	16	63	9
20/06	40	26	30	1003	16.6	62.6	10
20/18	44	28	35	1002	17	61.8	11
21/06	44	27	35	1003	16.8	61.1	12
21/12	47	28	35	1003	16.7	60.8	12A
21/18	50	28	35	1002	16.9	61.1	13
22/00	50	28	35	1001	17.2	61	13A
22/06	54	30	40	1000	17.5	60.7	14
22/12	55	30	40	998	17.9	61.4	14A
22/18	57	31	40	998	18.3	60.8	15
23/00	58	31	45	997	18.6	60.7	15A
23/06	60	31	45	996	18.9	60.4	16
23/12	61	32	50	994	19.2	60	16A
23/18	65	35	60	992	19.9	60.2	17
24/00	70	40	75	986	20.5	60	17A
24/06	74	42	80	983	21	60.1	18
24/12	76	43	85	980	21.6	60.5	18A
24/18	77	44	90	979	22.3	60.8	19
25/00	78	45	90	976	22.9	61.1	19A
25/06	78	47	100	971	23.6	61.6	20
25/12	79	48	100	970	24.4	62.2	20A
25/18	79	48	100	970	25.2	62.7	21
26/00	74	41	90	971	26.5	63.6	21A
26/06	72	39	90	974	27.7	64.9	22
26/12	69	36	85	977	28.6	66.8	22A
26/18	61	24	85	978	29.5	68.4	23
27/00	52	12	75	981	30.1	70.4	23A
27/06	41	5	75	982	30.5	72.2	24
27/12	27	BE	75	983	31.4	72.5	24A
27/18	15	EX	70	985	31.2	72	25
28/00	4	EX	75	983	30.6	71.6	25A
28/06	2	EX	70	984	30.4	72.4	26
28/12	1	EX	65	986	30.7	73.1	26A
28/18	1	EX	50	987	31.1	74.9	27
29/00	1	EX	40	989	31.8	76.6	27A
