07D.FREDDIE
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
02/00   45      15       35     1001      9.9    125.0  1 
02/06   75      25       40      998     10.6    122.9  1A  
02/12   100     35       45      995     11.0    120.7  2
02/18   100     45       50      992     11.4    122.9  2A  
03/00   100     55       55      989     12.1    125.0  3
03/06   100     65       50      992     13.2    126.9  3A
03/12   100     60       55      989     14.4    128.7  4  
03/18   100     60       55      988     15.9    130.4  4A
04/00   100     55       60      986     17.3    132.0  5
04/06   100     50       65      984     18.8    133.6  5A
04/12   90      45       70      983     20.4    135.2  6
04/18   70      35       70      982     22.0    136.9  6A
05/00   50      30       70      982     23.5    138.5  7
05/06   25      0        55      988     25.1    140.2  7A
05/12   0       BE       35      994     26.6    141.9  8
05/18   0       BE       25      998     28.1    143.7  8A
06/00   10      RE       20      1000    29.6    145.4  9
06/06   15      RE       15      1002    30.0    146.2  9A   
06/12   20      RE       15      1002    30.0    147.0  10
06/18   20      RE       15      1002    30.0    147.8  10A
07/00   40      RE       20      1000    30.0    148.6  11  
07/06   50      RE       25      998     30.0    149.4  11A       
07/12   60      RE       30      996     30.0    150.2  12
