07H.LIA
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
30/03   97      50      30      1006    17.1     13.8    1
30/09   97      52      40      1001    16.9     12.8    1A
30/15   99      57      40      1001    16.7     11.8    2
30/21   99      54      45      998     16.5     10.7    2A
31/03   99      51      45      998     16.4     9.6     3
+12     08    	00    	50    	995   	16.2  	 7.1     -
+24     12    	00    	60    	991   	16.2  	 4.6     -
+36     15    	00    	75    	986   	17.0  	 2.8     -
+48     17    	00    	85    	977   	18.4  	 1.8     -
+60     18    	00    	85    	975   	19.9  	 1.7     -
+72     18    	00    	80    	980   	21.1  	 1.1     -
