08D.GLORIA
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
05/18   05      LO      20      1013     19.7    174.9   1
06/06   25      LO      25      1011     19.9    173.9   2
06/18   45      LO      25      1009     20.1    172.9   3
07/00   65      30      30      1008     20.2    172.4   3A
07/06   97      40      35      1006     20.3    171.9   4 
07/12   98      45      40      1004     20.4    171.4   4A
07/18   100     50      45      1002     20.5    171.0   5
08/00   100     55      50      1000     20.5    170.5   5A
08/06   100     55      55      996      20.6    170.0   6
08/12   100     60      60      992      20.6    169.6   6A
08/18   100     75      65      989      20.7    169.2   7
09/00   100     90      70      986      20.7    168.7   7A
09/06   100     90      75      983      20.8    168.3   8
09/12   100     100     80      980      20.8    167.8   8A
09/18   100     100     85      977      20.9    167.4   9
10/00   100     100     90      974      20.9    166.9   9A
10/06   100     100     95      971      21.0    166.5   10
10/12   100     100     100     968      21.0    166.0   10A
10/18   100     100     105     965      21.1    165.6   11
11/00   100     100     110     962      21.1    165.1   11A
11/06   100     100     115     958      21.2    164.7   12
11/12   100     100     120     954      21.2    164.2   12A
11/18   100     100     125     950      21.3    163.8   13
12/00   100     100     130     946      21.3    163.3   13A
12/06   100     100     130     943      21.4    162.9   14
12/12   100     100     135     940      21.4    162.4   14A
12/18   100     100     140     937      21.5    162.0   15
13/00   100     100     140     934      21.5    161.5   15A
13/06   100     100     145     931      21.6    161.1   16
13/12   100     100     145     928      21.6    160.6   16A
13/18   100     100     150     925      21.7    160.2   17
14/00   100     100     150     922      21.7    159.7   17A
14/06   100     100     155     918      21.8    159.2   18
14/12   100     100     160     914      21.8    158.8   18A
14/18   100     100     165     910      21.9    158.4   19
15/00   100     100     170     902      21.9    157.9   19A
15/06   100     99      175     899      22.0    157.4   20
15/12   100     95      165     909      22.0    156.8   20A
15/18   100     90      165     913      22.5    155.7   21
16/00   100     90      160     916      23.0    154.5   21A
16/06   100     85      160     919      23.5    153.7   22
16/12   100     85      155     922      24.0    153.0   22A
16/18   100     80      155     925      24.5    152.3   23 
17/00   100     80      150     927      25.0    151.5   23A
17/06   100     75      150     931      25.5    151.1   24
17/12   100     75      145     934      26.0    150.7   24A
17/18   100     70      145     938      26.4    150.5   25
18/00   100     65      140     938      26.9    150.2   25A
18/06   100     60      140     942      27.4    149.8   26
18/12   95      55      135     945      27.8    149.6   26A
18/18   95      55      135     947      28.4    149.3   27
19/00   90      50      130     948      29.1    149.0   27A
19/06   90      50      130     950      29.7    148.7   28
19/12   85      45      125     951      30.3    148.4   28A
19/18   85      45      125     954      30.8    148.3   29
20/00   80      40      120     957      31.4    148.2   29A
20/06   80      40      120     960      31.9    148.1   30
20/12   80      35      115     962      32.5    147.9   30A
20/18   75      35      115     964      33.2    147.9   31      
21/00   75      30      105     966      33.9    147.9   31A
21/06   70      30      105     968      34.7    147.9   32
21/12   70      25      100     968      35.3    147.9   32A
22/18   70      20      100     968      35.6    148.3   33
22/00   65      20      100     968      36.7    148.7   33A
22/06   60      20      100     968      37.6    149.1   34
22/12   60      15       95     968      38.1    149.4   34A
22/18   55      15       95     967      38.8    150.3   35
23/00   55      10       95     966      39.5    151.2   35A
23/06   50      10       90     966      40.9    152.1   36
23/12   50      5        90     966      41.3    153.0   36A 
23/18   45      5        85     965      42.1    153.8   37  
24/00   45      5        85     965      42.8    154.5   37A
24/06   40      5        85     965      43.7    155.3   38    
24/12   40      5        85     964      44.5    156.0   38A
24/18   30      5        85     964      45.3    156.8   39
25/00   25      5        85     964      46.1    157.5   39A
25/06   15      3        85     964      46.9    158.3   40
25/12   10      BE       80     964      47.7    159.0   40A   
25/18   5       BE       80     964      48.5    160.5   41
26/00   5       BE       75     964      49.3    162.0   41A
26/06   5       BE       75     964      50.1    163.5   42
26/12   0       EX       75     964      50.9    165.0   42A
