08G.ALEXIS
Date	TS	HU	Wind	Press	Lat	Long	
03/00	14	0	15	1010	28.3	-91.0   1
03/06	16	0	15	1008	28.6	-91.7   1A
03/12	23	1	20	1005	29.3	-92     2
03/18	22	4	25	1004	29.7	-92.4	2A
04/00	30	5	30	1001	30.1	-93	3
04/06	60	26	35	999	30.4	-93.3	3A
04/12	60	26	35	999	30.7	-93.6	4
04/18	63	28	40	996	31.3	-94.5	4A
05/00	66	34	45	992	31.4	-95.7	5
05/06	67	35	50	990	31.9	-96.4	5A
05/12	67	37	55	989	32.3	-96.9	6
05/18	66	35	60	989	32.5	-97.7	6A
06/00	64	33	55	990	32.7	-98.1	7
06/06	63	30	55	992	32.9	-98.9	7A
06/12	59	28	45	996	33.7	-97.9	8
06/18	54	25	40	997	34.0	-97.0	8A
07/00	46	20	35	999	34.8	-96.5	9
07/06	40	16	35	1000	35.6	-95.9	9A
07/12	33	12	30	1000	36.1	-95.1	10
07/18	29	08	25	1003	37.3	-94.4	10A
08/00	16	BE	20	1005	37.9	-93.1	11
08/06	06	EX	15	1009    38.5	-92.2	11A
08/12	06	EX	15	1009    38.8	-91.4	12
08/18	06	EX	15	1010    39.3	-90.1	12
