08N.HANNA
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
21/06   30      09      30      1007     11.5    55.7      1
21/12   50      18      30      1005     12.4    57.3      2
21/18   89      27      35      1003     13.9    58.6      3
22/00   98      39      35      1000     14.4    59.5      4
22/06   100     57      40      997      14.7    60.4      5
22/12   100     60      60      990      15.6    61.4      6
22/18   100     70      80      982      19.2    63.5      7
23/00   100     80      90      960      20.4    65.4      8
23/06   100     90      100     955      21.7    66.4      9
23/12   100     95      110     940      23.4    68.4      10
23/18   100     99      120     940      24.3    70.4      11
24/00   100     99      110     950      26.4    71.7      12
24/06   99      70      100     969      27.2    73.6      13
24/12   95      50      90      970      29.4    74.5      14
24/18   90      30      80      980      29.4    75.4      15
25/00   80      20      80      982      29.5    76.1      16
25/06   60      10      80      985      30.0    77.2      17
25/12   50      00      60      990      30.2    79.2      18
25/18   40      EX      50      995      30.4    81.4      19
25/00   30      EX      40      1000     30.5    82.6      20

