09D.HAROLD
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
07/12   95      SD      30      1000     48.6    162.1  6 
07/18   97      SD      35      998      48.7    162.2  6A
08/00   100     SS      40      997      48.8    162.3  7
08/06   100     SS      40      996      48.9    162.4  7A
08/12   100     SS      45      995      49.0    162.5  8 
08/18   100     SS      45      994      49.1    162.6  8A
09/00   100     SS      50      992      49.2    162.7  9
09/06   100     SS      50      993      49.3    162.7  10A
09/12   100     SS      50      992      49.4    162.7  11
09/18   100     SS      45      993      49.5    162.7  11A
10/00   75      SS      45      992      49.6    162.7  12
10/06   70      SS      50      991      49.8    163.0  12A
10/12   50      SS      55      988      50.0    163.3  13
10/18   40      SS      60      986      50.4    163.9  13A
11/00   40      SS      60      985      50.8    164.5  14
11/06   40      SS      60      985      51.2    165.1  14A 
11/12   40      SS      55      987      51.6    165.7  15
11/18   40      SS      55      987      52.0    166.3  15A
12/00   40      SS      55      989      52.4    166.9  16
12/06   40      SS      55      988      52.5    167.5  16A
12/12   40      SS      55      988      52.6    168.1  17        
12/18   40      SS      55      988      52.7    168.7  17A
13/00   40      SS      60      987      52.8    169.3  18
13/06   30      SS      60      987      52.9    169.9  18A
13/12   20      SS      60      987      53.0    170.5  19      
+ 12    X       EX      40      995      54.0    172.0
