09G.NINE-G
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
18/06   03      00      20      1006     6.4     -92.3    1
18/12   26      06      25      1004     6.6     -92.9    1A
18/18   53      11      30      1003     6.8     -93.5    2
19/00   48      06      30      1003     6.8     -93.5    2A
19/06   47      05      30      1003     6.8     -93.6    3
19/12   45      06      30      1004     6.9     -93.6    3A
+12     x       x       30      1004     7.0     -93.7    4
+24     x       x       30      1006     7.1     -93.7    5
+48     x       x       30      1005     7.7     -94.1    7
+72     x       x       35      1002     9.1     -94.8    9
+96     x       x       45       997     10.6    -94.4    11
+120    x       x       50       993     12.6    -93.8    13
