09H.NAITAN
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
29/00   02      00      40      1009     0.5      23.7    1
29/06   02      00      40      1009     0.5      22.9    1A
29/12   02      00      40      1010     0.6      22.0    2
29/18   02      00      40      1008     0.6      21.2    2A
30/00   02      00      35      1010     0.7      20.4    3
30/06   02      00      35      1010     0.7      19.5    3A
30/12   18      00      30      1011     0.7      18.7    4
30/18   18      00      35      1013     0.7      17.7    4A
31/00   18      00      35      1013     0.8      16.8    5
31/06   18      00      35      1012     0.8      15.9    5A
31/12   18      00      35      1011     0.9      15.1    6
31/18   18      00      35      1010     1.1      14.3    6A
01/00   18      00      40      1009     1.3      13.4    7
01/06   18      00      40      1009     1.4      12.5    7A
01/12   18      00      40      1009     1.5      11.9    8
01/18   18      00      40      1008     1.8      11.1    8A
02/00   18      00      45      1007     2.0      10.3    9
02/06   18      00      45      1006     2.1       9.3    9A
02/12   18      00      50      1005     2.3       8.3    10
02/18   18      00      50      1004     2.5       7.5    10A
03/00   18      00      50      1003     2.8       6.6    11
03/06   18      00      50      1002     3.1       5.9    11A
03/12   18      00      60      1001     3.5       5.2    12
03/18   18      00      60      1000     4.0       4.6    12A
04/00   18      00      60       999     4.5       4.0    13
04/06   18      00      60       998     5.3       3.5    13A
04/12   18      00      65       998     6.0       3.0    14
04/18   18      00      65       997     6.9       2.5    14A
05/00   18      00      65       997     7.8       2.0    15
05/06   18      00      65       996     8.9       1.6    15A
05/12   18      00      70       995    10.0       1.2    16
05/18   18      00      70       994    11.3       0.9    16A
06/00   18      00      70       994    12.5       0.6    17
06/06   18      00      70       993    14.0       0.4    17A
06/12   18      00      70       993    15.5       0.3    18
06/18   18      00      70       992    17.3       0.2    18A
07/00   18      00      70       992    19.0       0.1    19
07/06   18      00      65       993    21.2       0.3    19A
07/12   18      00      60       994    23.4       0.4    20
07/18   18      00      60       996    26.1       0.7    20A
08/00   18      00      50       997    28.7       0.9    21
08/06   18      00      50       999    31.3       1.3    21A
08/12   18      00      45      1000    33.9       1.6    22
08/18   18      EX      45      1001    36.9       2.0    22A
