10D.IDA
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
12/00   75      20      35      1001     23.8    175.2  3 
12/06   90      30      35      999      24.1    175.0  3A
12/12   90      40      40      997      24.4    174.8  4
12/18   95      40      45      995      24.7    174.6  4A
13/00   100     45      50      993      25.0    174.4  5
13/06   100     55      55      991      25.3    174.2  5A
13/12   100     70      60      989      25.6    174.0  6
13/18   100     85      65      987      25.9    173.8  6A
14/00   100     90      70      985      26.2    173.6  7
14/06   100     92      75      983      26.5    173.6  7A 
14/12   100     95      80      981      26.8    173.6  8
14/18   100     98      85      978      27.1    173.6  8A
15/00   100     90      90      975      27.4    173.6  9
15/06   100     85      95      972      27.8    173.7  9A
15/12   100     80      100     969      28.0    173.8  10
15/18   100     80      105     965      28.3    174.0  10A
16/00   100     75      100     970      28.6    174.2  11
16/06   100     70      95      973      28.9    174.6  11A
16/12   100     65      90      975      29.2    175.0  12
16/18   100     60      90      976      29.5    175.2  12A
17/00   100     60      85      977      29.8    175.4  13
17/06   100     55      80      979      30.1    175.6  13A
17/12   100     55      80      982      30.4    175.8  14
17/18   100     50      75      983      30.7    176.1  14A
18/00   100     50      75      984      30.9    176.3  15
18/06   100     45      70      985      31.2    176.6  15A
18/12   95      45      70      986      31.4    176.8  16
18/18   95      40      70      985      31.7    177.0  16A
19/00   90      35      70      984      31.9    177.2  17
19/06   90      35      70      983      32.2    177.4  17A
19/12   85      30      75      982      32.4    177.6  18 
19/18   85      25      75      982      32.7    177.8  18A
20/00   85      25      80      981      32.9    178.0  19
20/06   80      25      80      980      33.1    178.2  19A
20/12   80      20      80      980      33.4    178.3  20
20/18   80      20      80      979      33.7    178.5  20A
21/00   75      15      80      978      33.9    178.7  21
21/06   75      15      80      978      34.1    178.9  21A  
21/12   75      10      80      979      34.4    179.1  22
21/18   70      10      80      980      34.7    179.3  22A   
22/00   70      10      75      981      34.9    179.4  23
22/06   65      10      75      983      35.2    179.6  23A
22/12   65      5       75      984      35.4    179.7  24
22/18   65      0       70      985      35.7    179.9  24A
23/00   60      0       70      985      35.9    179.9  25
23/06   55      0       70      986      36.1    179.9  25A
23/12   55      0       70      986      36.4    179.9  26
23/18   50      0       65      986      36.7    179.8  26A
24/00   50      0       65      987      36.9    179.7  27
24/06   50      0       65      987      37.1    179.5  27A
24/12   50      0       65      988      37.4    179.3  28
24/18   45      0       60      988      37.5    179.2  28A  
25/00   40      0       60      989      37.6    179.1  29
25/06   35      0       60      990      37.8    178.8  29A
25/12   30      0       60      990      37.8    178.5  30
+12     X       BE      55      993      38.0    177.2
+24     X       EX      45      996      38.2    176.0
