10G.DANNY
Date   TS    	 HU    	 Wind    Press 	 Lat  	  Long
20/12  00      00      20      1008     5.5      -147.4   1
20/18  00      02      20      1005     5        -147     1A
21/00  00      02      25      1004     4.7      -146.8   2
21/12  99      00      30      1008     4.7      -147     2A
21/18  99      00      30      1005     4.6      -147.5   3
22/00  99      15      35      1000     4.4      -148.7   3A
22/06  99      28      40      998      4.2      -149.4   4
22/12  99      36      60      995      3.9      -150.9   4A
22/18  94      37      60      991      3.8      -151.6   5
23/00  87      32      60      992      3.7      -152.8   5A
23/06  56      11      50      997      3.4      -154.8   6
23/12  21      00      35      1000     3.3      -156.1   6A
23/18  00			 00			 25			 1001			3.2			 -157.3   7
