11D.JOHN
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
12/12   80      40      35      1001     5.4     128.6  5
12/18   90      45      35      1000     5.4     128.5  5A
13/00   100     55      40      999      5.4     128.4  6
13/06   100     65      40      997      5.4     128.2  6A
13/12   100     65      45      995      5.4     128.0  7
13/18   100     65      45      993      5.4     127.5  7A
14/00   100     65      50      991      5.4     127.0  8
14/06   100     65      50      989      5.4     126.5  8A
14/12   100     70      55      987      5.4     126.0  9
14/18   100     80      60      985      5.4     125.5  9A
15/00   100     90      65      983      5.4     125.0  10
15/06   100     95      70      981      5.4     124.5  10A
15/12   100     100     75      979      5.4     124.0  11
15/18   100     100     80      977      5.4     123.5  11A
16/00   100     100     85      975      5.4     123.0  12
16/06   100     100     90      973      5.7     122.5  12A
16/12   100     100     95      971      6.0     122.0  13
16/18   100     100     100     969      6.3     121.5  13A
17/00   100     100     100     967      6.6     121.0  14
17/06   100     100     105     965      6.9     120.5  14A
17/12   100     100     105     963      7.2     120.0  15    
17/18   100     100     110     961      7.5     119.7  15A
18/00   100     100     115     959      7.8     119.4  16
18/06   100     100     115     957      8.1     119.2  16A
18/12   100     100     120     955      8.4     119.1  17
18/18   100     100     120     953      8.7     118.8  17A
19/00   100     100     125     951      9.0     118.5  18 
19/06   100     100     125     949      9.3     118.2  18A
19/12   100     100     130     947      9.6     117.9  19
19/18   100     100     130     945      9.9     117.5  19A
20/00   100     100     135     943      10.2    117.3  20
20/06   100     100     135     941      10.5    117.0  20A
20/12   100     100     140     939      10.8    116.8  21
20/18   100     100     140     937      11.1    116.6  21A
21/00   100     95      145     935      11.4    116.4  22
21/06   100     90      145     933      11.7    116.2  22A
21/12   100     85      150     931      12.0    116.0  23
21/18   100     80      155     930      12.3    115.9  23A
22/00   100     80      155     930      12.6    115.8  24
22/06   100     75      160     929      12.9    115.8  24A
22/12   100     75      160     929      13.2    115.8  25
22/18   100     70      160     929      13.0    115.6  25A
23/00   100     70      160     929      12.8    115.4  26
23/06   100     75      165     927      12.5    115.3  26A
23/12   100     80      170     925      12.1    115.2  27
23/18   100     80      165     927      11.8    115.2  27A     
24/00   100     85      160     930      11.6    115.2  28                 
24/06   100     85      155     931      11.4    115.2  28A
24/12   100     85      150     933      11.2    115.3  29
24/18   100     85      145     935      11.0    115.3  29A
25/00   100     85      140     937      10.9    115.4  30            
25/06   100     85      135     940      10.8    115.4  30A
25/12   100     85      130     942      10.7    115.5  31
25/18   100     85      125     944      10.5    115.6  31A
26/00   100     85      120     946      10.4    115.6  32
26/06   100     85      115     952      10.2    115.6  32A
26/12   100     85      110     958      10.0    115.7  33           
26/18   100     80      110     957      10.3    116.2  33A
27/00   100     80      110     956      10.5    116.7  34
27/06   100     80      110     956      10.8    117.2  34A
27/12   100     80      110     955      11.0    117.7  35
27/18   100     80      115     954      11.5    118.2  35A
28/00   100     80      115     953      12.0    118.7  36
28/06   100     80      120     951      12.5    119.2  36A
28/12   100     80      125     949      13.0    119.7  37         
28/18   100     80      125     948      13.5    120.2  37A
29/00   100     80      125     947      14.0    120.7  38
29/06   100     75      125     946      14.5    121.2  38A
29/12   100     70      125     947      15.0    121.7  39
29/18   100     65      125     947      15.5    122.2  39A
30/00   95      65      125     947      16.0    122.7  40
30/06   95      60      125     948      16.5    123.0  40A
30/12   95      60      120     948      17.0    123.2  41
30/18   90      55      115     950      17.5    123.4  41A
01/00   90      55      115     952      18.0    123.5  42
01/06   90      55      110     954      18.5    123.6  42A
01/12   85      50      110     956      19.0    123.7  43
01/18   85      50      105     958      19.5    123.8  43A
02/00   85      50      105     961      20.0    123.9  44
02/06   85      50      100     963      20.5    124.0  44A
02/12   80      45      100     966      21.0    124.1  45
02/18   80      45       95     967      21.8    124.1  45A
03/00   80      45       95     968      22.5    124.2  46
03/06   80      45       90     970      23.3    124.2  46A
03/12   75      40       90     971      24.0    124.3  47
03/18   75      40       85     972      25.0    124.3  47A
04/00   75      40       85     973      26.0    124.4  48
04/06   75      40       85     975      27.0    124.4  48A
04/12   70      35       80     976      28.0    124.5  49
+12     X       X        70     978      30.0    124.6
+24     X       X        60     981      31.5    124.7
+36     X       X        50     983      33.0    124.8
+48     X       EX       40     986      34.5    124.9
