11G.CARNBY
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
25/15   50      SS      40      998     43.7    -9.0    1
25/21   50      SS      40      997     43.5    -10.0   1A
26/03   50      SS      45      995     43.4    -10.6   2
26/09   50      32      50      996     43.4    -10.7   2A
26/15   50      30      45      997     43.7    -10.4   3
26/21   50      35      50      994     44.2    -10.0   3A
27/03   99      76      65      989     45.2    -9.6    4
27/09   99      54      75      983     46.0    -8.7    4A
+12     77    	37    	85    	984  	  47.3  	-8.6    -
+24     99    	41    	65    	976   	49.2  	-7.8    -
+36     99   	  72    	45    	981  	  51.2  	-5.9    -
+48     99    	EX    	35    	991  	  53.2  	-2.7    -
+72     99    	EX    	35    	995  	  53.2  	 5.2    -
+96     79    	SD    	35    	994   	53.2  	14.4    -
+120    32    	SS    	40    	991  	  54.8  	24.0    -
