12D.KATRINA
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
21/12   20    0      30      1009    18.5   175.0   1
21/18   40    5      30      1009    18.5   174.9   1A
22/00   55    15     30      1008    18.6   174.8   2
22/06   70    30     35      1008    18.6   174.7   2A
22/12   80    25     35      1007    18.7   174.6   3
22/18   90    25     35      1007    18.7   174.5   3A
23/00   95    25     35      1007    18.8   174.4   4
23/06   95    25     35      1007    18.8   174.2   4A
23/12   99    30     40      1006    18.9   174.0   5
23/18   100   35     40      1006    18.9   173.6   5A
24/00   100   35     40      1005    19.0   173.2   6
24/06   100   35     40      1005    19.0   172.8   6A
24/12   100   40     45      1005    19.1   172.4   7
