12H.WANNY
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
26/09   12      00      35      1005    26.6    158.0   1
26/15   09      00      35      1005    26.7    158.0   1A
26/21   09      00      30      1007    27.7    158.2   2
27/03   31      00      35      1003    28.6    157.9   2A
27/09   26      00      35      1005    28.9    157.6   3
27/15   58      00      35      1002    29.0    157.4   3A
27/21   99      03      40      1000    29.1    156.5   4
28/03   99      02      40      1000    29.1    156.4   4A
28/09   99      04      40      999     29.1    156.3   5
28/15   99      17      50      996     29.0    156.1   5A
28/21   99      05      45      998     29.6    155.5   6
29/03   99      00      50      996     30.7    154.5   6A
29/09   89      00      45      999     31.6    153.6   7
29/15   62      00      40      1001    31.7    153.5   7A
29/21   39      00      30      1005    31.8    153.4   8
