12N.LYDIA
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
29/12   40      01      40      1008     16.7    109.6      1
29/18   40      01      60      999      18.7    110.6      2
30/00   50      10      70      989      20.5    111.7      3
30/06   60      30      80      980      20.8    113.8      4
30/12   80      50      100     960      21.4    115.4      5
30/18   100     60      110     955      23.5    117.6      6
31/00   100     80      115     952      26.5    119.7      7
31/06   100     75      115     950      26.6    120.7      1
31/12   100     75      115     948      26.7    121.7      1A
31/18   100     75      120     946      26.8    122.7      2
01/00   100     75      120     946      26.9    123.7      2A
01/06   100     60      115     950      27.0    124.7      3
01/12   100     60      115     950      27.2    122.4      3A
01/18   100     60      115     950      27.4    120.2      4
+12     X       X       125     943      27.1    119.6      -
+24     X       X       130     934      27.3    115.5      -
+36     X       X       140     930      27.5    112.4      -
+48     X       X       150     925      27.6    110.4      -
+72     X       X       155     920      28.4    109.5      -
+96     X       X       140     935      29.4    107.2      -
+120    X       X       130     940      28.3    105.6      -
