13D.LORENZO
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
24/12   00      LO      20      1013     8.4     128.8  1
25/00   05      LO      20      1013     8.4     128.6  2
25/12   10      LO      20      1013     8.4     128.4  3
26/00   15      LO      20      1013     8.5     128.2  4
26/12   15      LO      20      1012     8.5     128.0  5
27/00   20      LO      25      1012     8.5     127.8  6
27/12   25      LO      25      1012     8.6     127.6  7
28/00   30      LO      25      1012     8.6     127.4  8
28/12   35      LO      25      1011     8.6     127.2  9
29/00   40      LO      25      1010     8.7     127.0  10
29/12   45      LO      25      1010     8.7     126.8  11
30/00   50      LO      25      1009     8.7     126.6  12
30/12   55      LO      30      1009     8.8     126.4  13
01/00   60      LO      30      1008     8.8     126.2  14
01/12   70      LO      30      1008     8.9     126.0  15
02/00   75      10      35      1007     9.1     125.7  16
02/06   75      10      35      1007     9.3     125.4  16A
02/12   75      10      35      1006     9.5     125.2  17
02/18   80      10      35      1005     9.7     125.0  17A
03/00   85      15      35      1004     10.0    124.8  18                
03/06   90      15      35      1002     10.1    124.6  18A
03/12   95      15      40      1001     10.1    124.4  19           
03/18   95      15      40      999      10.1    124.2  19A
04/00   95      20      45      997      10.1    124.0  20             
04/06   95      20      45      995      10.3    123.8  20A
04/12   100     20      50      993      10.4    123.6  21                  
04/18   100     20      50      992      10.6    122.9  21A  
05/00   95      20      55      991      10.7    122.2  22
05/06   95      20      55      990      10.8    121.9  22A 
05/12   95      20      60      989      10.9    121.6  23              
05/18   95      20      60      989      11.2    121.4  23A
06/00   90      20      65      988      11.4    121.2  24
06/06   90      20      65      987      11.7    121.1  24A
06/12   85      15      70      986      12.0    121.0  25              
06/18   80      10      70      987      12.8    121.5  25A
07/00   75      10      65      989      13.5    122.0  26
07/06   70      10      65      991      14.3    122.5  26A
07/12   65      10      60      993      15.0    123.0  27            
07/18   60      5       60      994      16.0    123.5  27A
08/00   55      5       55      995      17.0    124.0  28
08/06   50      5       55      996      18.0    124.5  28A
08/12   45      5       50      997      19.0    125.0  29
08/18   45      5       55      994      20.0    125.5  29A
09/00   40      5       55      992      21.0    126.0  30
09/06   40      0       60      990      22.0    126.5  30A
09/12   40      0       60      991      23.0    127.0  31
+12     X       X       55      994      25.0    128.O 
+24     X       X       50      997      27.0    129.0
+36     X       BE      35      1002     29.0    130.0
+48     X       EX      20      1007     31.0    131.0   
