13G.VON
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
05/21   84      27      30      1002     4.7    -131.6  1
06/03   84      27      30      1003     4.6    -132.4  1A
06/09   84      27      30      1004     4.6    -132.8  2
06/15   84      27      30      1004     4.6    -132.9  2A
06/21   84      27      30      1004     4.6    -133.0  3
07/03   84      27      30      1001     4.7    -132.8  3A
07/09   84      27      40       999     4.8    -132.4  4
07/15   84      27      40       997     4.8    -132.2  4A
08/09   83      25      45       996     5.2    -132.1  5
+12     x       x       45       994     5.4    -132.1  6
+24     x       x       40       995     5.8    -132.4  7
+36     x       x       40       995     6.9    -132.8  8
+48     x       x       45       992     8.4    -133.1  9
+72     x       x       50       990     9.8    -132.9  11
+96     x       x       35       997     11.6   -132.2  13
+120    x       x       25       1002    14.1   -131.6  15
