13H.KALAIT-DAVIS
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
04/15   99      99      35      1005    11.7     5.7    1
04/21   99      99      35      1005    10.3     4.5    1A
05/03   99      99      40      1002    9.3      3.5    2
05/09   99      99      45      1000    8.9      2.6    2A
05/15   99      99      60      996     9.0      1.6    3
05/21   99      99      65      994     9.0      1.2    3A
06/03   99      99      85      979     9.1      1.0    4
06/09   99      99      105     967     9.0      0.8    4A
06/15   99      99      115     959     8.7      0.0    5
06/21   99      99      120     956     8.5     -0.6    5A
07/03   99      99      120     957     8.4     -0.8    6
07/09   99      99      120     956     8.4     -0.9    6A
07/15   99      99      115     958     8.4     -0.7    7
07/21   99      99      115     957     8.3     -0.3    7A
08/03   99      99      115     958     8.7      0.2    8
08/09   99      99      115     959     9.1      0.7    8A
08/15   99      99      115     960     9.9      1.4
+12     99    	99    	120    	956  	 11.4  	   2.7    -
+24     99    	99    	120    	954    13.3  	   3.4    -
+36     99   	  99    	125    	952  	 14.9  	   3.1    -
+48     99    	99    	125    	950  	 16.2  	   2.1    -
+72     99    	99    	125    	951  	 17.8     -0.8    -
+96     99    	99    	125    	953    18.1  	  -4.1    -
+120    99    	99    	120     955  	 18.4     -7.4    -
