13N.MICHAEL
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
02/12   90      40      45      993      13.4    65.2     1
02/18   100     60      60      990      14.7    67.5     2
03/00   100     80      90      989      16.8    68.8     3
03/06   100     100     110     960      17.8    69.2     4
03/12   100     100     140     942      19.5    70.6     5
03/18   100     100     155     927      21.4    72.4     6
04/00   100     100     160     920      20.6    74.6     7
04/06   100     100     170     910      19.5    77.5     8
04/12   100     100     180     900      15.7    78.0     9
04/18   100     100     190     893      13.5    78.5     10
05/00   100     100     195     870      12.4    82.5     11
05/06   100     100     200     860      11.5    85.7     12
05/12   100     100     200     850      11.7    89.5     13
05/18   100     100     150     920      12.5    90.7     14
06/00   100     100     120     950      13.1    92.5     15
06/06   100     100     110     960      13.7    95.2     16
06/12   100     100     105     970      14.9    97.1     17
06/18   100     70      100     973      15.7    100.4    18
07/00   100     60      100     977      16.2    102.5    19
07/06   100     50      90      980      18.4    104.7    20
07/12   100     50      90      982      19.2    106.2    21
07/18   90      40      50      994      20.1    108.5    22
08/00   70      20      40      999      20.4    110.4    23
+12     100     40      35      1000     22.7    112.7    -
+24     100     EX      20      1004     25.6    115.5    -
+48     50      EX      15      1010     28.8    118.6    -
