15D.NICHOLAS
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
04/12   10      LO      30      1009     22.5    153.0  1
05/00   15      LO      30      1008     22.5    153.2  2
05/12   20      LO      30      1008     22.6    153.4  3
06/00   30      LO      30      1007     22.8    153.7  4 
06/12   40      LO      30      1006     23.0    154.0  5
07/00   50      LO      30      1006     23.4    154.6  6 
07/12   60      LO      35      1004     23.8    155.2  7
08/00   70      LO      35      1003     24.2    155.8  8
08/12   80      LO      35      1002     24.6    156.4  9
09/00   90      10      35      1001     25.0    157.0  10
09/06   95      10      35      1000     25.4    158.6  10A     
09/12   95      10      35      999      25.8    160.2  11
09/18   95      15      35      998      25.9    160.8  11A  
10/00   95      20      40      996      26.0    161.4  12
10/06   95      20      40      994      26.1    162.0  12A
10/12   95      25      45      993      26.2    162.6  13
10/18   90      45      55      987      26.3    163.0  13A
11/00   90      55      65      982      26.4    163.2  14
11/06   90      60      75      976      26.5    163.3  14A
11/12   85      55      85      972      26.6    163.4  15
11/18   85      55      85      970      26.5    163.5  15A
12/00   80      50      90      967      26.6    163.6  16  
12/06   80      45      90      964      26.5    163.7  16A
12/12   80      40      90      967      26.6    163.8  17
12/18   75      35      85      970      26.6    163.9  17A
13/00   75      30      85      972      26.6    164.0  18
13/06   70      25      85      974      26.8    164.1  18A
13/12   70      20      85      976      27.0    164.2  19
13/18   65      20      80      979      27.2    164.2  19A
14/00   60      15      80      982      27.4    164.3  20
14/06   55      15      80      983      27.6    164.3  20A
14/12   50      10      75      985      27.8    164.4  21
14/18   45      10      70      987      28.0    164.4  21A
15/00   40      10      65      988      28.2    164.5  22
15/06   35      5       60      990      28.4    164.5  22A
15/12   30      5       55      992      28.6    164.6  23
+12     X       X       45      996      29.3    164.8
+24     X       EX      35      1000     30.0    165.0
