15G.ERICKSON
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
18/21   99      80      35      1003    20.3    -12.3    1
19/03   99      74      45      999     20.4    -13.3    1A
19/09   97      42      45      999     20.4    -14.2    2
19/15   94      38      45      999     20.5    -14.6    2A
19/21   89      12      40     1000     20.3    -15.2    3
20/03   74      07      35     1002     20.4    -16.4    3A
20/09   79      08      40      999     20.6    -17.4    4
20/15   54      00      40      999     19.8    -18.9    4A
+12     08    	00    	45      997   	18.2  	-21.8    -
+24     12    	00    	35     1003   	17.6  	-25.1    -
+36     15    	00    	30     1004     18.2  	-28.4    -
+48     17    	EX    	30     1005   	20.3  	-31.0    -
+72     18    	EX    	25     1006   	26.3  	-33.4    -
