16D.OLWYN
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
14/12   60      LO      35      1004     22.0    150.0  1
15/00   75      LO      35      1003     22.1    149.0  2
15/12   90      5       35      1002     22.2    148.0  3
15/18   95      5       40      1001     22.2    147.5  3A
16/00   100     10      45      1000     22.3    147.0  4
16/06   75      5       40      1001     22.3    146.5  4A
16/12   50      0       35      1002     22.4    146.0  5
16/18   25      0       35      1004     22.4    145.5  5A
17/00   0       BE      30      1006     22.5    145.0  6
17/06   0       BE      30      1008     22.6    144.7  6A
17/12   0       EX      30      1010     22.6    144.4  7
