16G.FAITH
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
19/03   99      99      35      1002    11.2     -0.1    1
19/09   99      99      45      998     10.8     -1.2    1A
19/15   99      99      45      997     10.6     -2.0    2
+12     08    	00    	65    	987   	10.2  	 -3.6    -
+24     12    	00    	100    	971   	10.3  	 -5.2    -
+36     15    	00    	105    	967   	11.0  	 -6.7    -
+48     17    	00    	110    	963   	11.7  	 -7.3    -
+72     18    	00    	135    	957   	14.0  	 -9.6    -
+96     17    	00    	135    	953   	16.3  	-11.9    -
+120    17    	00    	135    	949   	17.4  	-15.0    -
