16N.OMAR
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
11/06   100     30      35      1000     18.4    98.2     1
11/12   100     40      40      998      17.2    99.1     2
11/18   100     50      45      996      16.5    99.2     3
12/00   100     70      50      992      16.2    99.0     4
12/06   100     90      60      991      16.3    98.4     5
12/12   100     99      70      990      16.7    97.7     6
12/18   100     60      70      991      17.2    96.2     7
+12     100     50      60      995      18.1    95.2     -
+24     100     20      50      997      18.0    92.9     -
+48     90      10      40      999      18.1    89.2     -
+72     70      00      40      1002     18.5    84.2     -
+96     50      EX      30      1005     19.2    81.1     -
+120    10      EX      25      1009     21.4    75.4     -
