17N.PARMA
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
13/00   60      10      35      1005     11.4    102.6      1
13/06   80      30      35      1002     12.6    104.2      2
13/12   100     50      45      998      12.7    105.6      3
13/18   100     70      75      989      13.5    106.7      4
14/00   100     90      90      979      13.9    106.6      5
14/06   100     100     115     965      14.7    105.6      6
14/12   100     100     125     950      15.1    104.2      7
14/18   100     100     135     940      16.5    103.1      8
15/00   100     100     145     920      16.9    101.5      9
15/06   100     100     150     910      17.2    99.2       10
15/12   100     100     155     900      18.9    96.2       11
15/18   100     100     150     905      19.1    95.1       12
16/00   100     100     145     910      19.7    94.2       13
16/06   100     100     130     920      20.1    93.4       14
16/12   100     100     125     935      20.6    93.0       15
16/18   100     100     120     940      20.8    92.4       16
17/00   100     100     115     955      21.1    91.1       17
17/06   100     100     115     962      21.3    90.0       18
17/12   100     100     110     969      22.0    89.2       19
17/18   100     100     105     973      22.5    88.4       20
18/00   100     100     105     980      22.9    88.0       21
18/06   100     100     100     981      24.0    87.1       22
18/12   100     100     90      989      24.4    86.0       23
18/18   100     100     80      990      25.0    85.6       24
19/00   100     100     80      991      25.4    85.8       25
19/06   100     100     75      995      26.0    86.2       26
19/12   100     70      70      996      26.4    86.7       27
19/18   100     60      65      990      27.0    85.7       28
+12     X       X       50      998      30.7    87.4       -
+24     X       X       45      999      31.5    87.5       -
+48     X       BE      40      1000     34.6    86.9       -
+72     X       EX      35      1003     37.1    85.2       -
+96     X       EX      25      1006     46.5    84.1       -
+120    X       EX      10      1008     54.2    82.5       -
