18G.EIGHTEEN-G
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
22/00   02      00      35      1006     9.1     -51.4    1
22/06   04      00      35      1005     9.1     -51.2    1A
22/12   04      00      35      1004     9.1     -50.9    2
+12     08    	00    	45    	 999  	 9.2  	 -50.5    -
+24     12    	00    	50    	 995  	 9.4  	 -50.0    -
+36     15    	00    	65    	 988  	 9.7  	 -48.9    -
+48     17    	00    	80    	 976  	 9.8  	 -47.5    -
+72     18    	00     100    	 969  	10.2  	 -45.6    -
+96     18    	00     115    	 958  	10.7  	 -42.6    -
+120    18    	00     120    	 952  	11.2  	 -39.0    -
