18N.RICKY
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
16/12   60      SD      35      1000     49.3    80.7    1
16/18   70      SD      35      999      49.8    81.0    2
17/00   80      SS      45      994      50.2    81.2    3
17/06   90      SS      50      990      50.7    82.0    4
17/12   100     SS      60      986      51.1    82.8    5
17/18   100     SS      70      983      51.4    83.1    6
18/00   100     SS      70      980      51.7    84.0    7
18/06   100     SS      70      982      52.0    84.5    9
18/12   100     SS      65      985      52.5    85.2    10
18/18   100     SS      60      989      52.8    85.9    11
19/00   100     SS      50      990      53.1    86.4    12
19/06   100     SS      45      991      54.0    87.0    13
19/12   100     SS      40      992      54.6    87.8    14
+12     X       SS      40      994      55.2    88.4    -
+24     X       SS      40      996      57.6    89.0    -
+48     X       SD      35      1000     58.1    89.2    -
+72     X       SD      30      1005     60.4    90.5    -
+96     X       EX      25      1008     62.2    92.4    -
+120    X       EX      30      1011     65.6    95.4    -
