19N.SANDRA
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
08/06   50      00      35      1000     18.7    69.5     1
08/12   60      00      35      999      17.9    69.8     2
08/18   100     30      45      994      18.0    70.0     3
09/00   100     50      60      991      18.1    70.5     4
09/06   100     70      65      989      18.2    71.1     5
09/12   100     80      75      987      18.4    72.0     6
09/18   100     100     100     975      18.5    72.1     7
+12     X       X       115     960      18.9    73.5     -
+24     X       X       130     941      19.3    75.4     -
+48     X       X       145     931      20.9    78.1     -
+72     X       X       155     912      21.2    81.1     -
+96     X       X       150     935      21.5    85.6     -
+120    X       X       135     940      22.9    89.5     -
