20D.SARAH
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
23/12   15      LO      20      1015     22.7    165.3  1
24/00   30      LO      25      1014     22.9    164.9  2
24/12   45      LO      25      1013     23.1    164.6  3
25/00   60      LO      30      1012     23.2    164.4  4
25/12   75      LO      30      1011     23.1    164.0  5   
26/00   90      LO      30      1010     22.9    163.6  6
26/12   95      5       35      1009     22.7    163.2  7
26/18   90      5       35      1008     22.6    163.0  7A
27/00   95      5       35      1006     22.5    162.6  8  
27/06   95      5       35      1004     22.4    162.2  8A
27/12   99      5       40      1003     22.3    161.9  9
27/18   99      10      40      1002     22.3    161.6  9A
28/00   99      10      40      1002     22.2    161.2  10
28/06   45      0       35      1004     22.2    160.8  10A
28/12   40      0       35      1005     22.1    160.4  11
28/18   35      0       35      1006     22.1    160.0  11A
29/00   30      0       35      1006     22.0    159.6  12
29/06   25      0       35      1007     22.0    159.2  12A
29/12   20      0       35      1006     21.9    158.8  13
29/18   20      0       35      1006     21.9    158.4  13A
30/00   20      0       35      1006     21.8    158.0  14
30/06   20      0       35      1005     21.8    157.6  14A
30/12   25      0       40      1004     21.7    157.2  15
30/18   40      0       45      1002     21.7    156.8  15A
31/00   60      5       50      1000     21.6    156.4  16  
31/06   80      5       60      995      21.5    156.2  16A
31/12   90      10      70      990      21.2    156.0  17
31/18   95      15      75      987      21.1    155.8  17A
01/00   100     20      80      984      20.9    155.6  18
01/06   100     30      85      981      20.8    155.4  18A  
01/12   100     40      90      978      20.6    155.2  19
01/18   100     50      95      974      20.4    155.1  19A
02/00   100     60      100     969      20.2    155.0  20
02/06   100     70      105     966      20.0    155.3  20A
02/12   100     80      110     962      19.8    155.5  21
02/18   95      80      110     960      20.0    155.8  21A  
03/00   90      75      115     958      20.2    156.0  22
03/06   80      60      120     956      20.5    156.5  22A
03/12   75      45      120     954      21.0    157.0  23
03/18   65      37      120     954      21.5    156.8  23A
04/00   55      30      120     954      22.0    156.5  24
04/06   50      23      115     955      22.9    156.2  24A
04/12   45      15      115     957      23.8    156.0  25
04/18   40      13      115     959      24.5    155.5  25A
05/00   35      10      115     960      25.2    155.0  26
05/06   30      8       115     962      25.9    155.0  26A 
05/12   25      5       110     964      26.6    154.8  27
05/18   25      5       110     964      27.3    155.0  27A
06/00   20      5       105     963      28.0    155.0  28
06/06   20      5       105     962      28.7    155.5  28A
06/12   15      5       100     961      29.4    156.0  29
06/18   10      5       100     958      30.1    156.5  29A
07/00   10      5       105     954      30.5    157.1  30
07/06   10      5       115     950      30.9    157.7  30A
07/12   10      5       125     946      31.4    158.2  31
07/18   05      0       120     952      31.6    158.8  31A
08/00   0       0       105     955      32.2    159.4  32
08/06   0       0       90      960      32.8    160.2  32A
08/12   0       0       75      965      34.0    161.5  33       
+12     X       X       45      975      36.0    164.7
+24     X       EX      30      980      38.2    167.9
