21D.TIM
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
13/12   30      LO      25      1009     25.5    163.5  1
14/00   40      LO      30      1008     26.1    164.0  2         
14/12   60      LO      30      1007     26.5    164.7  3
15/00   80      LO      35      1006     26.7    165.5  4
15/12   95      SD      35      1005     26.9    166.3  5
15/18   97      SD      35      1004     26.9    166.7  5A
16/00   99      SD      35      1003     27.0    167.1  6
16/06   100     SS      40      1002     27.0    167.6  6A
16/12   100     SS      40      1001     27.1    168.1  7
16/18   100     SS      45      1000     27.1    169.0  7A
17/00   100     SS      45      999      27.2    169.9  8
17/06   100     20      50      998      27.3    170.8  8A
17/12   100     40      55      995      27.4    171.7  9
17/18   100     55      60      994      27.8    172.2  9A
18/00   100     55      65      992      28.1    173.2  10
18/06   95      40      70      991      28.4    174.0  10A
18/12   90      30      75      990      28.8    174.7  11
18/18   80      25      75      990      29.5    175.2  11A
19/00   75      25      75      991      30.4    175.5  12    
19/06   70      25      70      992      31.4    175.6  12A
19/12   60      20      70      993      32.0    176.0  13
19/18   50      15      65      994      32.2    176.3  13A 
20/00   40      10      60      995      32.4    176.6  14
20/06   30      10      55      996      32.6    177.0  14A
20/12   20      5       55      997      32.7    177.5  15
20/18   15      5       50      998      32.9    178.0  15A
21/00   10      0       45      999      33.0    178.4  16
21/06   5       0       40      1000     33.1    178.9  16A
21/12   0       BE      35      1000     33.3    179.3  17
21/18   0       BE      35      1001     33.5    179.8  17A
22/00   0       BE      35      1002     33.7    180.3  18
22/06   0       BE      35      1003     33.9    180.8  18A
22/12   0       EX      35      1004     34.0    181.3  19
22/18   0       EX      35      1004     34.1    181.8  E1
23/00   0       EX      35      1004     34.2    182.3  E1A  
23/06   0       EX      35      1003     34.2    182.8  E2
23/12   0       EX      40      1003     34.3    183.3  E2A
