22N.VALERIE-PIJAMAN
Date  	TS    	HU    	Wind    Press	   Lat	  Long
20/12   100     30      40      1003     9.2    88.4    1
20/18   100     50      60      994      10.0   89.1    2
21/00   100     70      70      993      10.8   90.5    3
21/06   100     90      75      989      11.5   92.1    4
21/12   100     100     85      987      12.0   94.6    5
21/18   100     100    115      960      12.3   96.5    6
22/00   100     100    120      957      12.8   97.9    7
22/06   100     100    125      951      13.3   98.9    8
22/12   100     100    130      947      13.7   99.5    9
22/18   100     100    135      943      14.2   100.1   10
23/00   100     100    140      940      14.5   100.3   11
23/06   100     100    145      937      14.8   100.4   12
23/12   100     100    150      934      15.4   100.4   13
23/18   100     100    150      920      15.6   100.6   14
24/00   100     100    155      918      16.0   99.9    15
24/06   100     100    155      915      16.7   97.8    16
24/12   100     100    155      910      17.5   96.1    17
24/18   100     100    155      909      18.0   95.4    18
25/00   100     100    155      905      18.6   94.1    19
25/06   100     100    155      902      19.2   93.5    20
25/12   100     100    155      900      20.0   92.1    21
25/18   100     100    160      897      21.6   91.5    22
26/00   100     100    165      886      21.8   91.1    23
26/06   100     100    165      870      21.9   90.8    24
26/12   100     100    175      860      22.0   90.5    25
26/18   100     100    170      880      22.3   89.9    26   
27/00   100     100    165      900      22.5   87.4    27
27/06   100     100    160      901      23.1   85.2    28
27/12   100     100    160      905      23.5   83.1    29
27/18   100     100    160      908      24.0   81.7    30
28/00   100     100    160      915      24.4   79.4    31
28/03   100     100    150      915      25.0   78.5    31A
28/06   100     100    130      940      26.1   77.2    32
28/12   100     100    120      955      27.4   76.5    33
28/18   100     100    110      960      28.0   75.6    34
29/00   100     90     100      973      29.5   72.1    35
29/06   100     60     80       989      30.2   66.5    36
29/12   90      40     75       991      32.1   60.1    37
29/18   90      40     65       997      34.1   57.1    38
30/00   90      40     60       999      39.0   50.1    39
30/06   80      30     50       1000     40.6   49.0    40
30/12   70      20     40       1005     42.0   46.4    41
30/18   50      BE     35       1007     44.6   45.0    42
31/00   40      BE     30       1010     46.5   43.6    43
31/06   20      EX     25       1011     48.6   41.0    44
31/12   00      EX     15       1012     53.1   37.3    45
