23N.WILLIAM
Date  	TS    	HU    	Wind    Press	   Lat	  Long
28/12   100     SD      35      1002     45.0   69.2    1
28/18   100     SS      40      1000     45.6   70.1    2
29/00   100     SS      45      999      46.1   71.0    3
29/06   100     SS      45      996      48.2   71.5    4
29/12   100     SS      60      990      49.0   72.1    5
+12     100     SS      65      1000     49.4   74.0    -
+24     100     SS      65      999      49.5   78.8    -
+48     100     SS      60      997      48.9   82.6    -
+72     100     SS      50      995      47.5   85.2    -
+96     100     SS      45      994      46.7   90.0    -
+120    100     SS      40      996      45.9   97.8    -
