25N.YOLANDA
Date  	TS    	HU    	Wind    Press	   Lat	  Long
29/12   90      00      35      999      13.6   100.0   1
29/18   100     20      35      998      14.0   99.5    2
30/00   100     50      40      995      14.5   99.7    3
30/06   100     60      50      991      14.7   98.9    4
30/12   100     80      80      989      15.5   98.1    5
30/18   100     100     90      984      16.0   97.5    6
31/00   100     100     100     979      16.9   96.0    7
31/06   100     100     110     975      17.4   94.9    8
31/12   100     100     110     981      18.0   91.2    9
+12     X       X       105     984      19.6   90.2    -
+24     X       X       100     985      21.4   88.1    -
+48     X       X       90      987      23.5   86.4    -
+72     X       X       80      993      27.0   84.1    -
+96     X       X       70      997      31.1   82.2    -
+120    X       X       50      999      36.5   80.1    -
