27N.ALPHA
Date  	TS    	HU    	Wind    Press	    Lat	  Long
05/18   100     40      50      999       14.8  89.9    1
06/00   100     60      70      994       16.0  90.5    2
06/06   100     80      90      980       17.8  91.4    3
06/12   100     100     110     974       18.2  92.0    4
06/18   100     100     115     968       18.5  93.8    5
07/00   100     100     115     967       18.9  94.2    6
07/06   100     100     115     968       19.2  95.1    7
07/12   100     100     115     969       19.6  96.0    8
07/18   100     100     120     964       20.2  96.4    9
08/00   100     100     115     965       20.9  97.8    10
08/06   100     90      115     969       21.4  99.2    11
08/12   100     60      110     973       22.2  100.1   12
08/18   100     50      100     978       23.5  100.2   13
09/00   100     30      80      985       25.0  100.1   14
09/06   100     20      60      991       27.4  99.4    15
09/12   100     10      40      994       28.9  96.6    16
09/18   100     00      35      996       29.2  93.2    17
10/00   70      00      25      999       31.4  90.8    18
10/06   40      BE      20      1000      33.7  87.7    19
10/12   10      EX      15      1002      36.9  83.8    20
10/18   00      EX      10      1006      38.5  78.7    21
