28N.TWENTY-EIGHT
Date  	TS    	HU    	Wind    Press	    Lat	  Long
07/00   20      00      35      1002      29.2  74.3    1
07/06   30      00      35      1001      29.4  74.8    2
07/12   40      00      35      1000      30.0  75.1    3
07/18   40      00      35      1000      30.7  76.6    4
08/00   30      00      30      1002      31.4  77.0    5
08/06   20      BE      25      1004      32.0  77.5    6
+12     X       EX      20      1001      33.4  77.9    -
+24     X       EX      15      1000      33.6  79.5    -
+48     X       EX      15      1002      34.5  82.0    -
+72     X       EX      10      1005      35.9  86.2    -
