29N.BETA
Date  	TS    	HU    	Wind    Press	    Lat	  Long
08/18   100     10      35      1004      9.3   89.4    1
09/00   100     20      35      1002      9.6   90.0    2
09/06   100     30      40      1000      9.9   91.6    3
09/12   100     40      45      999       10.2  91.0    4
09/18   100     60      70      987       10.7  92.6    5
10/00   100     80      90      982       11.0  93.9    6
10/06   100     100     110     978       11.2  94.5    7
10/12   100     100     115     965       11.5  95.9    8
10/18   100     100     120     955       11.9  97.5    9
11/00   100     100     125     948       12.5  99.2    10
11/06   100     100     130     941       13.9  100.5   11
11/12   100     100     135     933       14.5  100.9   12
11/18   100     100     140     927       15.7  102.0   13
12/00   100     100     145     919       16.9  105.4   14
12/06   100     100     150     918       17.9  107.6   15
12/12   100     100     155     915       19.0  107.5   16
+12     X       X       155     915       21.5  106.2   -
+24     X       X       155     916       23.4  105.0   -
+48     X       X       155     919       26.6  104.4   -
+72     X       X       145     921       29.5  102.2   -
+96     X       X       135     934       33.4  100.5   -
+120    X       X       125     946       35.8  96.9    -
