31N.DELTA
Date  	TS    	HU    	Wind    Press	    Lat	  Long
19/06   90      10      35      1005      16.2  65.5    1
19/12   100     40      45      1000      17.4  66.7    2
19/18   100     60      60      992       18.4  68.7    3
20/00   100     90      70      990       19.5  69.8    4
20/06   100     100     85      986       20.4  70.4    5
20/12   100     100     100     977       22.0  72.0    6
20/18   100     100     105     974       22.9  72.9    7
21/00   100     100     110     969       23.4  73.5    8
21/06   100     100     115     965       24.0  74.2    9
21/12   100     100     110     968       24.8  75.7    10
21/18   100     100     115     965       25.4  76.2    11
22/00   100     100     125     963       26.8  76.4    12
22/06   100     100     135     951       26.9  76.7    13
22/12   100     100     140     940       27.0  77.0    14
22/18   100     100     140     938       27.2  77.2    15
23/00   100     100     140     939       28.0  77.3    16
23/06   100     100     130     944       29.5  79.5    17
23/12   100     100     120     950       29.8  81.0    18
23/18   100     100     115     953       29.9  82.7    19
24/00   100     100     115     955       30.2  83.3    20
24/06   100     100     110     960       30.4  84.0    21
24/12   100     100     110     962       30.7  84.4    22
24/18   100     100     105     965       30.8  84.8    23
25/00   100     90      105     971       31.0  85.0    24
+12     X       X       90      983       31.4  85.8    -
+24     X       X       75      989       33.0  88.5    -
+48     X       X       60      991       36.6  91.4    -
+72     X       BE      40      995       39.0  94.0    -
+96     X       EX      30      1000      42.4  99.0    -
+120    X       EX      25      1005      48.4  102.5   -
