32N.EPSILON
Date  	TS    	HU    	Wind    Press	    Lat	  Long
19/18   90      00      40      1000      14.5  100.4     1
20/00   100     30      45      999       16.0  101.7     2
20/06   100     60      60      995       16.7  101.4     3
20/12   100     70      65      993       18.9  100.9     4
+12     X       X       75      989       20.4  98.9      -
+24     X       X       90      985       21.0  96.4      -
+48     X       X       90      986       22.6  94.3      -
+72     X       X       80      989       24.6  91.4      -
+96     X       X       70      991       27.9  86.5      -
+120    X       X       60      993       24.4  81.8      -
