33N.ZETA
Date  	TS    	HU    	Wind    Press	    Lat	  Long
27/00   30      00      35      1011      50.4  71.2    1
27/06   50      00      35      1009      51.2  71.9    2
27/12   60      00      40      1007      51.6  72.5    3
27/18   70      00      40      1004      51.9  72.9    4
28/00   90      00      45      1001      52.4  73.4    5
+12     X       X       50      1000      52.8  74.8    -
+24     X       X       65      999       53.5  75.9    -
+48     X       X       65      995       55.5  77.6    -
+72     X       X       60      996       56.0  79.4    -
+96     X       X       50      998       58.4  81.2    -
+120    X       X       45      999       59.9  84.5    -
