50D.TEST_ONLY
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
00/00   00      LO      00      0000   53.0    177.0    1
00/00   00      LO      00      0000   53.0    178.0    1A
00/00   00      LO      00      0000   55.0    179.0    2
00/00   00      LO      00      0000   55.0    180.0    2A
00/00   00      LO      00      0000   54.5    181.0    3
00/00   00      LO      00      0000   56.0    182.0    3A
00/00   00      LO      00      0000   57.0    183.0    4
00/00   00      LO      00      0000   58.0    184.0    4A
00/00   00    	LO      00    	0000   59.0    185.0    5
00/00   00    	LO      00    	0000   60.0  	 186.0    5A
00/00   00    	LO      00    	0000   61.0  	 185.0    6
00/00   00    	LO      00    	0000   63.0  	 184.0    6A
00/00   00      LO      00      0000   66.0    183.0    7
00/00   00      LO      00      0000   68.0    182.0    7A
00/00   00      LO      00      0000   69.0    181.5    8
00/00   00      LO      00      0000   71.0    180.0    8A
00/00   00      LO      00      0000   77.0    179.8    9
00/00   00      LO      00      0000   79.0    178.0    9A
