50X.IWANNAHOTSON
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
00/00   00      LO      00      000     -3.0    -49.0      -
00/00   00      LO      00      000     -3.0    -45.0      -
00/00   00      LO      00      000     -3.0    -47.0      -
00/00   00      LO      00      000     -9.0    -47.0      -
00/00   00      LO      00      000     -9.0    -49.0      -
00/00   00      LO      00      000     -9.0    -45.0      -
00/00   00      LO      00      000     -9.0    -47.0      -
00/00   00      LO      00      000     -3.0    -47.0      -
00/00   00      LO      00      000     -3.0    -40.0      -
00/00   00      LO      00      000     -9.0    -38.0      -
00/00   00      LO      00      000     -6.0    -36.0      -
00/00   00      LO      00      000     -9.0    -34.0      -
00/00   00      LO      00      000     -3.0    -32.0      -
00/00   00      LO      00      000     -3.0    -28.0      -
00/00   00      LO      00      000     -9.0    -30.0      -
00/00   00      LO      00      000     -3.0    -28.0      -
00/00   00      LO      00      000     -9.0    -26.0      -
00/00   00      LO      00      000     -6.0    -27.0      -
00/00   00      LO      00      000     -6.0    -29.0      -
00/00   00      LO      00      000     -3.0    -28.0      -
00/00   00      LO      00      000     -9.0    -26.0      -
00/00   00      LO      00      000     -9.0    -23.0      -
00/00   00      LO      00      000     -3.0    -23.0      -
00/00   00      LO      00      000     -9.0    -21.0      -
00/00   00      LO      00      000     -3.0    -21.0      -
00/00   00      LO      00      000     -3.0    -17.0      -
00/00   00      LO      00      000     -9.0    -17.0      -
00/00   00      LO      00      000     -3.0    -17.0      -
00/00   00      LO      00      000     -9.0    -15.0      -
00/00   00      LO      00      000     -3.0    -15.0      -
00/00   00      LO      00      000     -3.0    -11.0      -

00/00   00      LO      00      000     -3.0    -11.0      -
00/00   00      LO      00      000     -3.0    -7.0      -
00/00   00      LO      00      000     -9.0    -9.0      -
00/00   00      LO      00      000     -3.0    -7.0      -
00/00   00      LO      00      000     -9.0    -5.0      -
00/00   00      LO      00      000     -6.0    -6.0      -
00/00   00      LO      00      000     -6.0    -8.0      -
00/00   00      LO      00      000     -3.0    -7.0      -
00/00   00      LO      00      000     -9.0    -5.0      -
00/00   00      LO      00      000     -9.0    -2.0      -
00/00   00      LO      00      000     -3.0    -2.0      -
