/// BFPOS - BIG FORECASTING POSITIONING AND ORGANIZATION MODEL ///
:> #FFCC99
Date      Lat      Long
:> 03X.BEV
+12     -17.4     -113.5
+24     -17.1     -115.2
+36     -17.0     -116.4
+48     -16.9     -116.9
+72     -16.6     -117.8
+96     -16.2     -118.7
+120    -16.0     -119.5
+144    -15.7     -120.4
+168    -15.5     -120.6
+192    -15.4     -121.3
+216    -15.2     -121.7
+240    -15.3     -122.1
+264    -15.5     -121.3
+288    -15.9     -121.3
+312    -16.2     -121.3
+336    -16.4     -121.0
+360    -16.7     -120.8
:> END
