/// KCG - KILMARNOCK CYCLONE GENESIS MODEL ///
:> #362383
Date      Lat      Long
:> 03X.BEV
+12     -17.7     -110.4
+24     -17.6     -111.7
+36     -17.5     -112.1
+48     -17.5     -114.1
+72     -17.2     -114.5
+96     -17.0     -115.0
+120    -16.9     -115.9
+144    -16.7     -116.8
+168    -16.5     -117.9
+192    -16.4     -118.2
+216    -16.3     -119.4
+240    -16.2     -120.4
+264    -16.1     -121.0
+288    -16.3     -122.6
+312    -16.4     -123.2
+336    -16.6     -122.8
+360    -16.8     -121.4
:> END
