/// MCTC - MINERAL CITY TROPICAL CYCLONE MODEL ///
:> #00ffff
Date      Lat      Long
:> 92X.INVEST
+12       -8.1    -51.3
+24       -8.2    -51.6
+36       -8.3    -51.9
+48       -8.4    -52.2
+60       -8.6    -52.5
+72       -8.8    -52.8
+84       -9.2    -53.1   
+96       -9.6    -53.4
+108      -10.0   -53.7
+120      -12.0   -54.0
:> 07D.FREDDIE 
+12       20.4    135.2
+24       23.5    138.5
+36       26.6    141.9
+48       29.6    145.4
+60       30.0    146.5
+72       31.0    148.0
+84       32.0    150.0
+96       33.0    152.0
