/// REA - RAEGA ENVIRONMENTAL AND ATMOSPHERICAL MODEL ///
:> #C0C000
Date      Lat      Long
:> 03X.BEV
+12     -17.4     -113.5
+24     -17.2     -114.8
+36     -17.2     -115.8
+48     -17.1     -116.9
+72     -17.0     -117.2
+96     -16.9     -117.9
+120    -16.7     -118.4
+144    -16.5     -119.0
+168    -16.3     -119.6
+192    -16.2     -120.2
+216    -16.2     -120.8
+240    -16.5     -121.1
+264    -16.7     -121.5
+288    -17.0     -121.9
+312    -17.1     -122.2
+336    -17.5     -122.2
+360    -17.7     -122.0
:> END
