/// REAM [RAEGA ENVIRONMENTAL AND ATMOSPHERICAL MODEL] ///
    Date  	  Lat  	   Long
[A] 01X.GISPASKI
    +12      -7.1     -135.3
    +24      -7.0     -135.9
    +36      -6.8     -136.5
    +48      -6.6     -137.3
    +72      -6.4     -138.4
    +96      -6.2     -139.8
    +120     -6.1     -140.3
    +144     -6.0     -140.7
    +168     -5.8     -141.5
    +192     -5.6     -142.3
    +216     -5.4     -144.6
    +240     -5.3     -145.6
    +264     -5.1     -147.1
    +288     -4.8     -148.8
    +312     -4.6     -149.4
    +336     -4.4     -150.2
    +360     -4.1     -151.7
[Z]
