/// SCTC - STEEL CITY TROPICAL CYCLONE MODEL ///
:> #00ffff
Date      Lat      Long
:> 30N.THIRTY
+12       11.4     79.9
+24       11.6     79.7
+36       11.8     79.7
+48       12.0     79.3
+60       12.2     79.1
+72       12.5     78.7 
+96       12.9     78.3    
+108      13.5     77.8  
+120      13.8     77.3  
+132      14.6     76.0
+144      16.0     75.7  
+156      17.9     75.5  
+168      19.8     76.2  
+180      22.4     78.0  
+192      25.2     80.0  
+204      27.9     82.0
+216      29.9     84.0
+228      31.9     86.0
+240      33.9     88.0
:> END  
