/// REAM - RAEGA ENVIRONMENTAL AND ATMOSPHERICAL MODEL ///
:> #C0C000
Date      Lat      Long
:> 94G.INVEST
+12       4.7     -129.8
+24       4.9     -130.1
+36       5.3     -132.4
+48       5.5     -137.3
+72       5.9     -138.4
+96       6.3     -139.8
+120      6.7     -140.3
+144      7.9     -140.7
+168      8.8     -141.5
+192      9.6     -141.3
+216     10.5     -141.3
+240     11.7     -140.2
+264     12.4     -140.2
+288     13.3     -138.8
+312     14.8     -136.4
+336     16.4     -132.2
+360     18.9     -130.7
:> 01X.GISPASKI
+12      -7.1     -135.3
+24      -7.0     -135.9
+36      -6.8     -136.5
+48      -6.6     -137.3
+72      -6.4     -138.4
+96      -6.2     -139.8
+120     -6.1     -140.3
+144     -6.0     -140.7
+168     -5.8     -141.5
+192     -5.6     -142.3
+216     -5.4     -144.6
+240     -5.3     -145.6
+264     -5.1     -147.1
+288     -4.8     -148.8
+312     -4.6     -149.4
+336     -4.4     -150.2
+360     -4.1     -151.7
:> 11G.CARNBY
+12      49.1     -4.6
+24      50.0     -7.4
+36      50.5     -8.8
+48      50.7     -8.9
+72      51.5     -8.3
+96      54.3     -7.2
+120     56.7     -6.4
:> END
